NOME_CAMPO;DEFINIZIONE
COD_SLL_2011;Codice del SLL 2011
DESC_SLL_2011;Denominazione del SLL 2011
P1;Popolazione residente - Totale
P2;Popolazione residente - Maschi
P3;Popolazione residente - Femmine
P4;Popolazione residente - Celibi/nubili
P5;Popolazione residente - Coniugati/e (+ separati/e di fatto)
P6;Popolazione residente - Separati/e legalmente
P7;Popolazione residente - Vedovi/e
P8;Popolazione residente - Divorziati/e
P9;Popolazione residente - Maschi celibi
P10;Popolazione residente - Maschi coniugati o separati di fatto
P11;Popolazione residente - Maschi separati legalmente
P12;Popolazione residente - Maschi vedovi
P13;Popolazione residente - Maschi divorziati
P14;Popolazione residente - età < 5 anni
P15;Popolazione residente - età 5 - 9 anni
P16;Popolazione residente - età 10 - 14 anni
P17;Popolazione residente - età 15 - 19 anni
P18;Popolazione residente - età 20 - 24 anni
P19;Popolazione residente - età 25 - 29 anni
P20;Popolazione residente - età 30 - 34 anni
P21;Popolazione residente - età 35 - 39 anni
P22;Popolazione residente - età 40 - 44 anni
P23;Popolazione residente - età 45 - 49 anni
P24;Popolazione residente - età 50 - 54 anni
P25;Popolazione residente - età 55 - 59 anni
P26;Popolazione residente - età 60 - 64 anni
P27;Popolazione residente - età 65 - 69 anni
P28;Popolazione residente - età 70 - 74 anni
P29;Popolazione residente - età > 74 anni
P30;Popolazione residente - Maschi - età < 5 anni
P31;Popolazione residente - Maschi - età 5 - 9 anni
P32;Popolazione residente - Maschi - età 10 - 14 anni
P33;Popolazione residente - Maschi - età 15 - 19 anni
P34;Popolazione residente - Maschi - età 20 - 24 anni
P35;Popolazione residente - Maschi - età 25 - 29 anni
P36;Popolazione residente - Maschi - età 30 - 34 anni
P37;Popolazione residente - Maschi - età 35 - 39 anni
P38;Popolazione residente - Maschi - età 40 - 44 anni
P39;Popolazione residente - Maschi - età 45 - 49 anni
P40;Popolazione residente - Maschi - età 50 - 54 anni
P41;Popolazione residente - Maschi - età 55 - 59 anni
P42;Popolazione residente - Maschi - età 60 - 64 anni
P43;Popolazione residente - Maschi - età 65 - 69 anni
P44;Popolazione residente - Maschi - età 70 - 74 anni
P45;Popolazione residente - Maschi - età > 74 anni
P46;Popolazione residente totale da 6 anni e più
P47;Popolazione residente totale da 6 anni e più - laurea vecchio e nuovo ordinamento+diplomi universitari+diplomi terziari di tipo non universitario vecchio e nuovo ordinamento
P48;Popolazione residente  totale da 6 anni e più - diploma di scuola secondaria superiore (Maturità + qualifica)
P49;Popolazione residente  totale da 6 anni e più - media inferiore
P50;Popolazione residente totale da 6 anni e più - licenza elementare
P51;Popolazione residente totale da 6 anni e più -  alfabeti
P52;Popolazione residente  totale da 6 anni e più - analfabeti
P53;Popolazione residente maschi in età da 6 anni e più
P54;Popolazione residente maschi 6 anni e più - laurea vecchio e nuovo ordinamento+diplomi universitari+diplomi terziari di tipo non universitario vecchio e nuovo ordinamento
P55;Popolazione residente maschi 6 anni e più - diploma di scuola secondaria superiore (Maturità + qualifica)
P56;Popolazione residente maschi 6 anni e più - media inferiore
P57;Popolazione residente maschi 6 anni e più - licenza elementare
P58;Popolazione residente maschi 6 anni e più - alfabeti
P59;Popolazione residente maschi 6 anni e più - analfabeti
P60;Popolazione residente totale di 15 anni e più appartenente alle forze di lavoro totale
P61;Popolazione residente totale di 15 anni e più occupata (FL)
P62;Popolazione residente totale di 15 anni e più disoccupata in cerca nuova occupazione
P64;Popolazione residente maschi di 15 anni e più appartenente alle forze di lavoro
P65;Popolazione residente maschi di 15 anni e più occupata (FL)
P66;Popolazione residente maschi di 15 anni e più disoccupata in cerca nuova occupazione
P128;Popolazione residente totale di 15 anni e più non appartenente alle forze di lavoro (NFL)
P129;Popolazione residente  maschi non appartenente alle forze di lavoro
P130;Popolazione residente totale di 15 anni e più casalinghi/e
P131;Popolazione residente totale di 15 anni e più studenti
P132;Popolazione residente totale maschi di 15 anni e più studenti
P135;Popolazione residente totale di 15 anni e più altra condizione
P136;Popolazione residente totale maschi di 15 anni e più in altra condizione
P137;Popolazione  residente che si sposta giornalmente nel comune di  dimora abituale
P138;Popolazione  residente che si sposta giornalmente fuori del comune di dimora abituale
P139;Popolazione residente totale di 15 anni e più percettori di reddito da lavoro o capitale
P140;Popolazione residente totale maschi di 15 anni e più percettori di reddito da lavoro o capitale
ST1;Stranieri e apolidi residenti in Italia - Totale
ST2;Stranieri e apolidi residenti in Italia - Maschi
ST3;Stranieri e apolidi residenti in Italia - età 0 - 29 anni
ST4;Stranieri e apolidi residenti in Italia - età 30 - 54 anni
ST5;Stranieri e apolidi residenti in Italia - età > 54 anni
ST6;Stranieri e apolidi residenti in Italia - Maschi - età 0 - 29 anni
ST7;Stranieri e apolidi residenti in Italia - Maschi - età 30 - 54 anni
ST8;Stranieri e apolidi residenti in Italia - Maschi - età > 54 anni
ST9;Stranieri residenti in Italia - Europa
ST10;Stranieri residenti in Italia - Africa
ST11;Stranieri residenti in Italia - America
ST12;Stranieri in Italia - Asia
ST13;Stranieri in Italia - Oceania
ST14;Apolidi residenti in Italia
ST15;Stranieri residenti in Italia - Totale
A2;Abitazioni occupate da persone residenti
A6;Abitazioni vuote
A5;Altri tipi di alloggio occupati
A44;Superficie delle abitazioni occupate da persone residenti
A45;Abitazioni occupate 
A46;Famiglie in abitazioni in affitto
A47;Famiglie in abitazioni di proprietà
A48;Famiglie che occupano l'abitazione ad altro titolo
PF1;Famiglie residenti totale
PF2;Famiglie residenti totale componenti
PF3;Famiglie residenti 1 componente
PF4;Famiglie residenti 2 componenti
PF5;Famiglie residenti 3 componenti
PF6;Famiglie residenti 4 componenti
PF7;Famiglie residenti 5 componenti
PF8;Famiglie residenti 6 e oltre componenti
PF9;Componenti delle famiglie residenti di 6 e oltre componenti
E1;Edifici e complessi di edifici (totale)
E2;Edifici e complessi di edifici utilizzati
E3;Edifici ad uso residenziale
E4;Edifici e complessi di edifici (utilizzati) ad uso produttivo, commerciale, direzionale/terziario, turistico/ricettivo, servizi, altro
E5;Edifici ad uso residenziale in muratura portante
E6;Edifici ad uso residenziale in calcestruzzo armato
E7;Edifici ad uso residenziale in altro materiale (acciaio, legno, ecc.)
E8;Edifici ad uso residenziale costruiti prima del 1919
E9;Edifici ad uso residenziale costruiti dal 1919 al 1945
E10;Edifici ad uso residenziale costruiti dal 1946 al 1960
E11;Edifici ad uso residenziale costruiti dal 1961 al 1970
E12;Edifici ad uso residenziale costruiti dal 1971 al 1980
E13;Edifici ad uso residenziale costruiti dal 1981 al 1990
E14;Edifici ad uso residenziale costruiti dal 1991 al 2000
E15;Edifici ad uso residenziale costruiti dal 2001 al 2005
E16;Edifici ad uso residenziale costruiti dopo il 2005
E17;Edifici ad uso residenziale con un piano
E18;Edifici ad uso residenziale con 2 piani
E19;Edifici ad uso residenziale con 3 piani
E20;Edifici ad uso residenziale con 4 piani o più
E21;Edifici ad uso residenziale con un interno
E22;Edifici ad uso residenziale con 2 interni
E23;Edifici ad uso residenziale da 3 a 4 interni
E24;Edifici ad uso residenziale da 5 a 8 interni
E25;Edifici ad uso residenziale da 9 a 15 interni
E26;Edifici ad uso residenziale con 16 interni o più
E27;Totale interni in edifici ad uso residenziale
